"Depth_m","Mean_YBP","L05","U95"
0.06,1899.701,376.85,4821.95
0.1,2787.316,652.55,6112
0.14,3590.731,1027.5,7027.2
0.28,6246.211,3040.65,9087.25
0.36,7849.782,4992.55,9724.5
0.42,9300.381,7272.85,10101.05
0.5,10683.143,10509.9,11040.4
0.54,11238.053,10801.85,11938.9
0.55,11388.962,10913.9,12209.2
0.56,14148.511,11206.95,21549.35
0.6,42590.332,40308.6,44466.35
0.61,44751.113,43193.95,49137.4
0.62,45775.231,43360.8,51767
0.63,46610.376,43505.85,53728.1
0.65,48057.324,43797.2,56767.6
0.66,48721.524,43921.95,58903.35
0.67,49375.667,44064.85,60427.65
0.73,52823.074,44927.7,66142.65
0.75,53904.521,45249.75,67828.85
0.81,57227.058,46215.7,74539.15
0.87,60514.463,47134.35,80213.8
