"Depth","Mean","L05","U95"
0,-72.952,-73,-73
0.01,-72.931,-73,-73
0.02,-72.911,-73,-73
0.03,-72.89,-73,-73
0.04,-72.863,-73,-73
0.05,-72.471,-73,-73
0.06,56.479,-73,388.15
0.07,546.1,48,2055.25
0.08,894.519,114.95,2823.8
0.09,1183.972,181.85,3328.25
0.1,1433.647,247,3845.65
0.11,1673.95,310.75,4245.5
0.12,1891.486,378.9,4574.35
0.13,2100.141,440.95,5007.2
0.14,2308.052,520.2,5249.05
0.15,2507.304,592.8,5521.25
0.16,2698.941,714.9,5826.3
0.17,2884.751,813.8,6071.3
0.18,3076.501,943.9,6288.45
0.19,3270.758,1043.85,6417.75
0.2,3480.939,1140.9,6634.2
0.21,3675.751,1238.35,6893.6
0.22,3873.929,1361.55,7113.8
0.23,4081.082,1493,7327.9
0.24,4276.995,1601.8,7522.5
0.25,4476.474,1754.15,7777.6
0.26,4667.919,1854.9,7997.1
0.27,4861.719,1975.85,8156.95
0.28,5060.878,2163.95,8335.4
0.29,5260.345,2298.8,8482.3
0.3,5451.284,2452.9,8567.1
0.31,5642.84,2614.35,8790.15
0.32,5827.792,2754.7,8907.2
0.33,6013.655,2910.65,9026.4
0.34,6210.566,3052.55,9106.05
0.35,6420.415,3199.7,9199.55
0.36,6616.201,3410.95,9303.1
0.37,6801.918,3615.7,9372.05
0.38,6999.649,3844.85,9453.8
0.39,7195.001,4120.45,9532.1
0.4,7392.76,4377.5,9595.1
0.41,7589.189,4550.95,9658.45
0.42,7794.191,4779.8,9731.1
0.43,8009.723,5013.9,9796.1
0.44,8227.627,5355.25,9859.05
0.45,8453.34,5677,9921.05
0.46,8694.248,6175.5,9983.1
0.47,8964.626,6624.65,10043
0.48,9254.496,7061.5,10106
0.49,9600.596,7889.9,10173
0.5,10036.97,9086.7,10281
0.51,10213.342,9935.95,10400
0.52,10288.214,10041,10443.1
0.53,10360.01,10194.4,10486
0.54,10433.738,10288.95,10531.05
0.55,10606.362,10409,10971.3
0.56,11096.026,10518.85,12929.35
0.57,11548.09,10606.8,14907.4
0.58,11970.208,10672,16334.6
0.59,12384.065,10750,18116.65
0.6,12810.91,10823.85,19986.35
0.61,13271.024,10979.9,21646.4
0.62,18251.301,11227.95,32416.25
0.63,27406.019,17478.95,37722.25
0.64,32499.06,24697,39786
0.65,37450.486,30974.95,41658.1
0.66,42585.87,39691.1,44614.4
0.67,45372.808,43255.85,51245.2
0.68,46791.451,43466.65,55705
0.69,47960.854,43669.4,57912.1
0.7,49049.792,43875.7,60483
0.71,50003.17,44072.8,62290.65
0.72,50926.607,44280.35,64020.7
0.73,51803.134,44502.7,65780.25
0.74,52690.769,44712.45,67495.95
0.75,53535.483,44913.3,68920.6
0.76,54373.781,45110.15,70182.4
0.77,55171.032,45292.7,71555.4
0.78,55933.226,45476.4,73247.65
0.79,56723.287,45697.7,74150.5
0.8,57568.679,46026.9,75235.5
0.81,58385.874,46254.75,77469.1
0.82,59218.958,46538.6,79200.45
0.83,60009.858,46723.4,81320.85
0.84,60760.386,46939,82991.6
0.85,61571.724,47167.75,84191.45
0.86,62337.124,47507.55,84875.15
0.87,63087.362,47863.35,85755.85
