"Depth","Mean","L05","U95"
0.06,56.479,-73,388.15
0.1,1433.647,247,3845.65
0.14,2308.052,520.2,5249.05
0.28,5060.878,2163.95,8335.4
0.36,6616.201,3410.95,9303.1
0.42,7794.191,4779.8,9731.1
0.5,10036.97,9086.7,10281
0.54,10433.738,10288.95,10531.05
0.55,10606.362,10409,10971.3
0.56,11096.026,10518.85,12929.35
0.6,12810.91,10823.85,19986.35
0.61,13271.024,10979.9,21646.4
0.62,18251.301,11227.95,32416.25
0.63,27406.019,17478.95,37722.25
0.65,37450.486,30974.95,41658.1
0.66,42585.87,39691.1,44614.4
0.67,45372.808,43255.85,51245.2
0.73,51803.134,44502.7,65780.25
0.75,53535.483,44913.3,68920.6
0.81,58385.874,46254.75,77469.1
0.87,63087.362,47863.35,85755.85
