"Depth","Mean","L05","U95"
0,-73,-73,-73
0.01,-73,-73,-73
0.02,-73,-73,-73
0.03,-73,-73,-73
0.04,-73,-73,-73
0.05,-72.923,-73,-73
0.06,56.248,-73,346.4
0.07,498.385,47.95,1915.6
0.08,861.303,116,2869.05
0.09,1160.396,185,3388.45
0.1,1434.076,248,3992
0.11,1683.7,310.95,4527.7
0.12,1924.324,381.9,4934.95
0.13,2151.897,444.95,5271.3
0.14,2371.276,520.75,5549
0.15,2581.65,590.8,5758.35
0.16,2787.433,657,5964
0.17,2984.703,740.35,6192.5
0.18,3179.775,822.85,6474.35
0.19,3388.423,916.85,6765.3
0.2,3584.828,1017.8,6982.3
0.21,3787.32,1110.95,7152.3
0.22,3977.616,1239.25,7283.45
0.23,4165.834,1372.6,7459.4
0.24,4343.908,1471.4,7634.3
0.25,4534.382,1590.85,7828.2
0.26,4713.644,1674.95,7924.5
0.27,4892.057,1794.7,8093.25
0.28,5070.661,1906.3,8240.6
0.29,5255.619,2010.45,8356
0.3,5435.292,2152.5,8472.4
0.31,5616.384,2333.8,8603
0.32,5794.538,2507.55,8703.2
0.33,5973.224,2670.95,8804.7
0.34,6164.327,2763.65,8917.35
0.35,6354.176,2889.7,8985.35
0.36,6545.502,3199.35,9138.4
0.37,6743.624,3312.95,9266.45
0.38,6935.463,3492.1,9357.45
0.39,7140.147,3781.9,9449.3
0.4,7338.806,3952.1,9529.05
0.41,7539.413,4270.95,9599.05
0.42,7755.175,4440.55,9669.05
0.43,7972.852,4762.65,9740.45
0.44,8199.271,5057.55,9810.1
0.45,8432.81,5442.4,9887.6
0.46,8675.234,5813.4,9954.5
0.47,8930.12,6127.05,10026
0.48,9218.185,6632.4,10098
0.49,9560.631,7301.85,10171
0.5,9991.577,8735.5,10273.05
0.51,10170.304,9992.55,10386
0.52,10250.684,10120.45,10432.05
0.53,10328.237,10218.95,10477
0.54,10408.259,10285,10531
0.55,10526.45,10388.95,10706.15
0.56,10763.031,10509,11366
0.57,10968.099,10604,12137
0.58,11162.028,10664,12750.9
0.59,11351.893,10729,13417.85
0.6,11548.013,10812,14048.2
0.61,11762.7,10951.6,14872.5
0.62,15062.913,11212.95,23924.3
0.63,23703.896,17108.6,32266.4
0.64,29923.096,22695.85,36702.85
0.65,36175.122,28529.4,40394.9
0.66,42703.388,39919.8,45090.8
0.67,45940.29,43259,54701.3
0.68,47605.533,43527.65,60054.3
0.69,48987.18,43739.55,63526.55
0.7,50195.426,43971.4,66143.9
0.71,51310.82,44177.9,67983
0.72,52382.834,44392.75,70065.55
0.73,53392.838,44586.95,72103.1
0.74,54393.358,44792.8,74170.7
0.75,55399.972,45002.85,76232.5
0.76,56357.399,45248.8,77597.55
0.77,57357.941,45446.75,79013.8
0.78,58358.484,45644.95,80891.7
0.79,59344.148,45840.9,83876.5
0.8,60307.995,46104,85236.85
0.81,61203.227,46300.05,85889.55
0.82,62087.387,46545.45,88364.6
0.83,62948.965,46774.75,90161.55
0.84,63837.441,47000.8,91556.3
0.85,64703.509,47183.85,92847.5
0.86,65578.905,47527.85,94193.25
0.87,66477.056,47755.8,95782.25
