"Depth","Mean","L05","U95"
0.06,56.248,-73,346.4
0.1,1434.076,248,3992
0.14,2371.276,520.75,5549
0.28,5070.661,1906.3,8240.6
0.36,6545.502,3199.35,9138.4
0.42,7755.175,4440.55,9669.05
0.5,9991.577,8735.5,10273.05
0.54,10408.259,10285,10531
0.55,10526.45,10388.95,10706.15
0.56,10763.031,10509,11366
0.6,11548.013,10812,14048.2
0.61,11762.7,10951.6,14872.5
0.62,15062.913,11212.95,23924.3
0.63,23703.896,17108.6,32266.4
0.65,36175.122,28529.4,40394.9
0.66,42703.388,39919.8,45090.8
0.67,45940.29,43259,54701.3
0.73,53392.838,44586.95,72103.1
0.75,55399.972,45002.85,76232.5
0.81,61203.227,46300.05,85889.55
0.87,66477.056,47755.8,95782.25
