"depth_m","sample_id","ybp","sd","context_number","C29.Avg","StDev","C31.Avg","StDev.1","C33.Avg","StDev.2","C29.Avg.1","StDev.3","C31.Avg.1","StDev.4","C33.Avg.1","StDev.5","d13C_WtAvg","dD_WtAvg","Mean","L05","U95"
0.06,"",NA,NA,"2","-28.5450072",0.26,-26.89,0.08,-26.5,0.12,-149.55,4.34,-161.91,1.74,-160.85,1.15,-25.91,-158.83,56.25,-73,346.4
0.06,"",NA,NA,"5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25,-73,346.4
0.1,"",NA,NA,"2","-29.1161039",0.16,-26.98,0.14,-26.83,0.53,-156.59,8.2,-157.48,2.51,-158.13,3.35,-26.11,-157.53,1434.08,248,3992
0.14,"",NA,NA,"3","-28.8494945666667",0.09,-27.03,0.25,-28.33,0.07,-171.42,2.12,-173.34,1.48,-165.13,1.15,-26.72,-170.59,2371.28,520.75,5549
0.28,"",NA,NA,"3","-31.1205566",0.29,-31.51,0.11,NA,NA,-118.54,6.62,-133.33,2.05,-129.9,4.34,-31.36,-128.12,5070.66,1906.3,8240.6
0.36,"",NA,NA,"3","-30.4454108",0.24,-30.26,0.33,-29.16,1.16,-132.04,6.95,-133.69,1.28,-120.34,5.1,-30.08,-130.42,6545.5,3199.35,9138.4
0.42,"",NA,NA,"3","-31.4668586",1.81,-31.01,0.49,-28.45,1.89,-113.08,9.72,-111.84,3.09,-104.25,1.72,-30.38,-109.95,7755.18,4440.55,9669.05
0.5,"UGAMS-8984",9110,30,"23","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9991.58,8735.5,10273.05
0.5,"",NA,NA,"23","-31.6938152",0.64,-31.23,0.3,-29.09,0.19,-132.45,1.86,-139.22,2,-137.44,1.87,-30.6,-137.28,9991.58,8735.5,10273.05
0.54,"",NA,NA,"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10408.26,10285,10531
0.55,"",NA,NA,"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10526.45,10388.95,10706.15
0.55,"UGAMS-8985",9320,30,"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10526.45,10388.95,10706.15
0.56,"",NA,NA,"55","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10763.03,10509,11366
0.6,"",NA,NA,"70","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11548.01,10812,14048.2
0.61,"",NA,NA,"25","-32.7722282333333",0.43,-31.08,0.02,-29.15,0.03,-138.38,3,-139.27,0.13,-136.11,0.92,-30.73,-138.01,11762.7,10951.6,14872.5
0.62,"UGAMS-8987",9870,30,"93","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15062.91,11212.95,23924.3
0.62,"UGAMS-8986",10060,30,"136","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15062.91,11212.95,23924.3
0.63,"",NA,NA,"30","-31.9397243333333",0.12,-31.05,0.01,-29.49,0.03,-135.98,1.74,-143.67,2.07,NA,NA,-30.74,-141.34,23703.9,17108.6,32266.4
0.65,"",NA,NA,"30","-32.8449116",0.16,-32.58,0.11,-30.23,0.13,-131.36,2.05,-143.13,1.68,NA,NA,-31.94,-138.91,36175.12,28529.4,40394.9
0.66,"UGAMS-8988",40100,230,"60","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42703.39,39919.8,45090.8
0.67,"",NA,NA,"52","-31.2816544666667",0.07,-31.3,0.04,-30.13,0.67,-138.98,2.87,-141.92,2.26,-140.52,2.92,-30.96,-140.66,45940.29,43259,54701.3
0.73,"",NA,NA,"88/78","-31.3832882",0.26,-31.33,0.15,-29.6,0.39,-126.08,7.62,-139.8,8.38,NA,NA,-30.67,-135.28,53392.84,44586.95,72103.1
0.75,"",NA,NA,"88/78","-31.8657565",0.06,-31.38,0.1,-30.23,0.15,-118.26,1.98,-135.48,1.4,-132.35,1.72,-31.11,-130.39,55399.97,45002.85,76232.5
0.81,"",NA,NA,"88/78","-30.3066038",0.12,NA,NA,NA,NA,-134.87,0.47,-147.86,2.08,-145.88,2.54,-30.31,-143.66,61203.23,46300.05,85889.55
0.87,"",NA,NA,"88/78","-31.8692558",0.27,-32.26,0.13,-30.6,0.19,-136.54,1.59,-153.9,1.64,-148.8,2.13,-31.69,-147.53,66477.06,47755.8,95782.25
